input,target
दस के साथ थाकान भी है,दस्त के साथ थकान भी है
परसों से से उं गली में जलन है और आंखोंसुन्न लग रहा है,परसों से से उंगली में जलन है और आंखों सुन्न लग रहा है
सुबह से से उंगली में शूजन है,सुबह से से उंगली में सूजन है
उंगलियों में सूजनहै जो उंगली तक फैल रहा है,उंगलियों में सूजन है जो उंगली तक फैल रहा है
मसूड़ों मेंसुन्नपन औरसर्दी है,मसूड़ों में सुन्नपन और सर्दी है
पिछले हफ्ते से घुटना में कड़ापन है और बजन बढ़ना भी हो रहा है,पिछले हफ्ते से घुटना में कड़ापन है और वजन बढ़ना भी हो रहा है
मुझे सर्दी और थकान है,मुझे सर्दी और थकान है
गर्दन में जलन ओर खांसी है,गर्दन में जलन और खांसी है
पिछले हफ्ते से कमर में कड़ापन है और उल्टी भी हो रहा ह,पिछले हफ्ते से कमर में कड़ापन है और उल्टी भी हो रहा है
शिरमें भार ीपन है जो कंधों तक फैल रहा है,सिर में भारीपन है जो कंधों तक फैल रहा है
"हां, सिड में खुजली है","हां, सिर में खुजली है"
कंधों में जालन और बेचैनी है,कंधों में जलन और बेचैनी है
पिछलेहफ्ते सेमसूड़ों में तेच डर्ड है और बुकार भी हो रहा है,पिछले हफ्ते से मसूड़ों में तेज दर्द है और बुखार भी हो रहा है
मुझे दस्त हो रहा है,मुझे दस्त हो रहा है
कंधों में तेज दर्द और उल्डी है,कंधों में तेज दर्द और उल्टी है
पिछले हफ्ते से सिर में कड़ापन है और सांस लेने में तकलीफ भी हो रहा है,पिछले हफ्ते से सिर में कड़ापन है और सांस लेने में तकलीफ भी हो रहा है
हाथों में ऐंठन और कमजोरी है,हाथों में ऐंठन और कमजोरी है
रात से से कलाई मेंदर्द है,रात से से कलाई में दर्द है
पिछले हफ्ते से हाथ्ों में जलन है और बेचैनी भी हो रहा है,पिछले हफ्ते से हाथों में जलन है और बेचैनी भी हो रहा है
सुबह से दांट में खुजली है,सुबह से दांत में खुजली है
उंगलियों में तेज सुन्नपन हे और मुझे जुकाम और बेचैनी है,उंगलियों में तेज सुन्नपन है और मुझे जुकाम और बेचैनी है
पैर में कड़ापन और भूख नहीं लगना है,पैर में कड़ापन और भूख नहीं लगना है
पिछले हफ्ते से छाती में कड़ापन है और उल्टी भी हो रहाहै,पिछले हफ्ते से छाती में कड़ापन है और उल्टी भी हो रहा है
गला में बहुत तेज तेज दर्दे है,गला में बहुत तेज तेज दर्द है
खाना खाने के बाद हथों में झनझनाहट होता है,खाना खाने के बाद हाथों में झनझनाहट होता है
आंख में दरद है जो हाथ तक फैल रहा है और पिछले हफ्ते से कंधा में दर्द है औल नींद नहीं आना भी हो रहा है,आंख में दर्द है जो हाथ तक फैल रहा है और पिछले हफ्ते से कंधा में दर्द है और नींद नहीं आना भी हो रहा है
हाथों में सूजन और काशी है और जब चरता करता हूं तो पेट में कड़ापन होता है,हाथों में सूजन और खांसी है और जब चलता करता हूं तो पेट में कड़ापन होता है
सुबह से क़मर में ऐंठन है,सुबह से कमर में ऐंठन है
परसों सेसे कानमें सूजन है,परसों से से कान में सूजन है
रात से षे छाती में भारीपन है,रात से से छाती में भारीपन है
खाना खाने के बाद टखना में खुजलीहोता है,खाना खाने के बाद टखना में खुजली होता है
हाथ में दर्द और वजन बढ ़ना है और आंख में खुजली है जो पीठ तक फैल रहा है,हाथ में दर्द और वजन बढ़ना है और आंख में खुजली है जो पीठ तक फैल रहा है
पिछले हफ्ते से कमर में झनझनाहट है और नींध नहीं आना भी हो रहा है,पिछले हफ्ते से कमर में झनझनाहट है और नींद नहीं आना भी हो रहा है
रात से से घबराहट है और जब खड़ा होता करता हूं तो कमर में झनझनाहट होता है,रात से से घबराहट है और जब खड़ा होता करता हूं तो कमर में झनझनाहट होता है
पिछले हफ्ते से छाती में सुन्नपन है और दस्त् भी हो रहा है,पिछले हफ्ते से छाती में सुन्नपन है और दस्त भी हो रहा है
पेट में जलन और उल्टीहै,पेट में जलन और उल्टी है
नाक में खुजली और जुकाम है और जब सोता करता हूंतो पीठ में दर्द होताहै,नाक में खुजली और जुकाम है और जब सोता करता हूं तो पीठ में दर्द होता है
कलाई में जलन और चक्कर है और सुबह से षे कमर में तेज दर्द है,कलाई में जलन और चक्कर है और सुबह से से कमर में तेज दर्द है
खाणा खाने के बाद घुटना में खुजली होता है और जब खड़ा होता करता हूं तो घुटना में जलान होता है,खाना खाने के बाद घुटना में खुजली होता है और जब खड़ा होता करता हूं तो घुटना में जलन होता है
खान में तेज जलन है,कान में तेज जलन है
परसों सेसे हातों में कड़ापन है,परसों से से हाथों में कड़ापन है
कल से से घुटना में दर्द़ है,कल से से घुटना में दर्द है
कल से गला में खुजली शुरू हो गया,कल से गला में खुजली शुरू हो गया
पिछले हफ्ते से घुटना में दर्द है और बेचैनी भी हो ड़हा है,पिछले हफ्ते से घुटना में दर्द है और बेचैनी भी हो रहा है
उंगलियों में ऐंठन है जो नाक तक फैल डहा है,उंगलियों में ऐंठन है जो नाक तक फैल रहा है
मुझे हाथों में झनझनाहट है,मुझे हाथों में झनझनाहट है
आंख में तेज तेज दर्द है और पिछले हफ्ते से गले में सूजनहै और जुकाम भी हो रहाहै,आंख में तेज तेज दर्द है और पिछले हफ्ते से गले में सूजन है और जुकाम भी हो रहा है
कान मैँ तेज भारीपन है,कान में तेज भारीपन है
जब बैठता करता हूं तो मसूड़ों में थेज दर्द होता है,जब बैठता करता हूं तो मसूड़ों में तेज दर्द होता है
मेरे आंख में बहुत सुन्नपण है,मेरे आंख में बहुत सुन्नपन है
दांत में हल्की बेंठन है,दांत में हल्की ऐंठन है
टखना में झनझनाहट औरबेचैनी ह औरपिछले हफ्ते से मसूड़ों में खुजली है और सांस लेने में तकलीफ भी हो रहा है,टखना में झनझनाहट और बेचैनी है और पिछले हफ्ते से मसूड़ों में खुजली है और सांस लेने में तकलीफ भी हो रहा है
मेरे कलाई में बहुत खुज़ली है,मेरे कलाई में बहुत खुजली है
उंगलियों में सुन्नपन है जो पैरों तक फैल रहा है,उंगलियों में सुन्नपन है जो पैरों तक फैल रहा है
हाथ में खुज़ली है जो उंगलियों तक फैल रहा है,हाथ में खुजली है जो उंगलियों तक फैल रहा है
"जीभ में भारीपन और थगान है और हां, हाथों में कड़ापन है","जीभ में भारीपन और थकान है और हां, हाथों में कड़ापन है"
दोपहर से से उंगलियों में सूज़न है,दोपहर से से उंगलियों में सूजन है
परसों सेसे उंगली मेंकड़ापन है और सुबह से से टखना मेंजलन है,परसों से से उंगली में कड़ापन है और सुबह से से टखना में जलन है
गर्दन नें बहुत तेज झनझनाहट है और कमर में सूजण है जो कंधा तक फैल रहा है,गर्दन में बहुत तेज झनझनाहट है और कमर में सूजन है जो कंधा तक फैल रहा है
छातीमें कड़ापनऔर सांस लेने में तकलीफ है,छाती में कड़ापन और सांस लेने में तकलीफ है
शाम से से आंखों में भारीपन है और पिछले हफ्ते से कलाई में झनझनाहट है और जु काम भी हो रहा है,शाम से से आंखों में भारीपन है और पिछले हफ्ते से कलाई में झनझनाहट है और जुकाम भी हो रहा है
पिछले हफ्ते से उंगली में भारीपन है और कमजोरी भी हो रहा है,पिछले हफ्ते से उंगली में भारीपन है और कमजोरी भी हो रहा है
कंधा में भारीपन है जो छाती तक फैल रहा है,कंधा में भारीपन है जो छाती तक फैल रहा है
जब सीढ़ी चढ़ता करता हूं तो पीठ में सूजन होता है,जब सीढ़ी चढ़ता करता हूं तो पीठ में सूजन होता है
आँखों में दल्द और चक्कर है,आंखों में दर्द और चक्कर है
पिछले हफ्ते से हाथों में खुजलि है और भूख नहीं लगना भी हो रहा है,पिछले हफ्ते से हाथों में खुजली है और भूख नहीं लगना भी हो रहा है
मुझे थकान और भूख नहीं लगना है,मुझे थकान और भूख नहीं लगना है
पीठ में खुज़ली हो रहा है और कंधों में तेज दर्द है जो कान तक फैल रहा है,पीठ में खुजली हो रहा है और कंधों में तेज दर्द है जो कान तक फैल रहा है
कभी -कभी गर्दन में तेज डर्डहोता है,कभी-कभी गर्दन में तेज दर्द होता है
आंखों में भरीपन है जो आंख तक फैल रहा है,आंखों में भारीपन है जो आंख तक फैल रहा है
दोपहर से से पेन में जलन है,दोपहर से से पेट में जलन है
टखना में खुजली और वजन कम होना है और कंधा में तेज दर्द है जो गला तक बैल रहा है,टखना में खुजली और वजन कम होना है और कंधा में तेज दर्द है जो गला तक फैल रहा है
पिछले हफ्ते से कमर में तेज दर्द़ है और बेचैनी भी हो रहा है,पिछले हफ्ते से कमर में तेज दर्द है और बेचैनी भी हो रहा है
दांत में हल्की जल्लन है,दांत में हल्की जलन है
नाक मं गुजली हैजो हाथ तक फैल रहा है,नाक में खुजली है जो हाथ तक फैल रहा है
कमर में झनझनाहट और चक्कर है,कमर में झनझनाहट और चक्कर है
हाथ में झनझनाहट है चो उंगलियों तक फैल रहा है,हाथ में झनझनाहट है जो उंगलियों तक फैल रहा है
जब सीढ़ी चढ़ता करता हूं तो उंगलियों में ऐंठन होता है,जब सीढ़ी चढ़ता करता हूं तो उंगलियों में ऐंठन होता है
घुटनों मे तेज तेज दर्द है,घुटनों में तेज तेज दर्द है
पिछले हफ्ते से जीभ में ऐंठान है और बेचैनी भी हो रहा है और तीन दिन से से पेट में दर्द है,पिछले हफ्ते से जीभ में ऐंठन है और बेचैनी भी हो रहा है और तीन दिन से से पेट में दर्द है
गर्दनमें तेज सूजन है,गर्दन में तेज सूजन है
मुझे कंधा में खुजली ह,मुझे कंधा में खुजली है
पीठ में तेजदर्द है जोहाथ तकफैल रहा है,पीठ में तेज दर्द है जो हाथ तक फैल रहा है
खाना खाने के बाद हथ में सूजन होता है,खाना खाने के बाद हाथ में सूजन होता है
जब काम करता करता हूं तो उंगली में झनझनाहड होता है,जब काम करता करता हूं तो उंगली में झनझनाहट होता है
बहुतघबड़ाहट मह सूस हो रहा है,बहुत घबराहट महसूस हो रहा है
जबसोता करता हूं तो घुटना मे कड़ापन होता है,जब सोता करता हूं तो घुटना में कड़ापन होता है
जब खाता करता हूं तो घुटनों मंकड़ापन होता है,जब खाता करता हूं तो घुटनों में कड़ापन होता है
कंधों में दर्द़ ओर दस्त है,कंधों में दर्द और दस्त है
पिछले हफते से गर्दन में कड़ापन है और सर्दी भी हो रहा है,पिछले हफ्ते से गर्दन में कड़ापन है और सर्दी भी हो रहा है
कमर में कड़ापन है जो नक़ तक फैल रहा है,कमर में कड़ापन है जो नाक तक फैल रहा है
पिछले हफ्तै से उंगलियों में खुजली है और खांसी भी हो रहा है और शाम से से आंखों में सुन्नपन है,पिछले हफ्ते से उंगलियों में खुजली है और खांसी भी हो रहा है और शाम से से आंखों में सुन्नपन है
गर ्दन मेंजलन है जो आं खों तक फैल रहा है,गर्दन में जलन है जो आंखों तक फैल रहा है
जब काम करता करता हूं तौ गर्दन में जलन होताहै,जब काम करता करता हूं तो गर्दन में जलन होता है
पिछले हफ्ते से गले में सूजन है और सर्दी भी हो रहा है,पिछले हफ्ते से गले में सूजन है और सर्दी भी हो रहा है
कान में तेज दरद और वजन बढ़ना है और पैरों में कड़ापन और बेचैनी है,कान में तेज दर्द और वजन बढ़ना है और पैरों में कड़ापन और बेचैनी है
पिछले हफ्ते से हाथ में कड़ापन है और खांसी भी हो रहा है,पिछले हफ्ते से हाथ में कड़ापन है और खांसी भी हो रहा है
गळे में तेज दर्द है जो पीठ तक फैल रहा है,गले में तेज दर्द है जो पीठ तक फैल रहा है
रात से से हाठ में खुजली है,रात से से हाथ में खुजली है
मेरे घुटनों में बहुत सूज़न है,मेरे घुटनों में बहुत सूजन है
जब खाता करताहूं तो पीठ में कड़ापन होता है,जब खाता करता हूं तो पीठ में कड़ापन होता है
परैों में खुजली है जो पैर तक फैल रहा है,पैरों में खुजली है जो पैर तक फैल रहा है
परसों से से फीठ में ऐंठन है और मुझे बेचैनी और खांसी है,परसों से से पीठ में ऐंठन है और मुझे बेचैनी और खांसी है
जब खाता करथा हूं तो गले में ऐंठन होता है,जब खाता करता हूं तो गले में ऐंठन होता है
कंधों में सूजन है जो नाक तक फैल रहा है ओर जब खाता करता हूं तो कंधों में सुन्नपन होता है,कंधों में सूजन है जो नाक तक फैल रहा है और जब खाता करता हूं तो कंधों में सुन्नपन होता है
